watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20260105,600114.SH,东睦股份,66.72,30.57,31.68,31.74,30.54,0.847,7.36,机械基件
20260105,000803.SZ,山高环能,64.32,7.52,7.35,7.36,6.99,0.8916,7.58,环境保护
20260106,601688.SH,华泰证券,75.55,25.56,24.36,24.41,23.42,0.9122,6.14,证券
20260106,000776.SZ,广发证券,74.51,23.78,23.06,23.11,22.37,0.8487,6.69,证券
20260106,601179.SH,中国西电,73.66,9.63,9.75,9.77,9.28,0.8768,7.48,电气设备
20260106,603379.SH,三美股份,71.91,60.8,61.18,61.3,59.29,0.8518,6.87,化工原料
20260106,600312.SH,平高电气,69.03,18.59,18.3,18.34,17.72,0.8139,6.13,电气设备
20260107,000935.SZ,四川双马,81.53,27.29,26.0,26.05,24.96,0.8727,6.23,水泥
20260107,603663.SH,三祥新材,79.62,36.59,37.5,37.58,36.02,0.855,7.9,小金属
20260107,000959.SZ,首钢股份,75.89,5.01,5.04,5.05,4.85,0.8386,6.79,普钢
20260107,600160.SH,巨化股份,71.77,38.83,38.93,39.01,37.66,0.8279,6.59,化工原料
20260107,603379.SH,三美股份,71.42,60.33,61.18,61.3,59.3,0.8011,6.02,化工原料
20260107,603132.SH,金徽股份,70.42,15.1,15.32,15.35,14.78,0.8147,7.75,铅锌
20260107,603699.SH,纽威股份,70.41,53.51,53.56,53.67,51.43,0.8553,7.59,机械基件
20260107,600089.SH,特变电工,70.05,24.19,23.79,23.84,22.89,0.8153,7.73,电气设备
20260107,600312.SH,平高电气,68.25,18.53,18.64,18.68,18.06,0.8128,7.99,电气设备
20260107,600352.SH,浙江龙盛,63.92,11.51,11.15,11.17,10.92,0.8219,4.69,染料涂料
20260107,603505.SH,金石资源,62.56,19.52,19.57,19.61,18.9,0.8074,6.76,化工原料
20260108,000959.SZ,首钢股份,82.08,5.05,5.06,5.07,4.88,0.8991,4.95,普钢
20260108,603132.SH,金徽股份,72.05,15.14,15.32,15.35,14.79,0.8086,7.73,铅锌
